type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.802608000,-106.433907000,5197.6,239.2,1.3,8.165,547.98,,,,,,,
T,42.801588000,-106.435331000,5206.3,234.7,1.4,8.266,533.16,,,,,,,
T,42.800322000,-106.436859000,5219.3,229.8,1.4,8.383,617.31,,,,,,,
T,42.798868000,-106.438335000,5230.5,225.1,1.1,8.508,661.63,,,,,,,
T,42.798071000,-106.439096000,5229.2,221.8,1.0,8.575,355.10,,,,,,,
T,42.796972000,-106.440146000,5226.4,219.1,0.9,8.668,489.75,,,,,,,
T,42.793218000,-106.443683000,5243.7,216.2,1.8,8.983,1665.31,,,,,,,
T,42.792532000,-106.444404000,5252.1,215.4,2.1,9.043,316.17,,,,,,,
T,42.787379000,-106.449184000,5323.1,214.7,2.4,9.474,2274.55,,,,,,,
T,42.785345000,-106.451201000,5349.7,214.9,2.7,9.648,918.00,,,,,,,
T,42.784046000,-106.452411000,5364.8,214.9,2.7,9.757,574.16,,,,,,,
T,42.782090000,-106.454128000,5375.6,214.6,2.3,9.917,848.93,,,,,,,
T,42.781537000,-106.454614000,5383.3,214.3,1.7,9.963,240.09,,,,,,,
T,42.781533433,-106.454606309,5383.7,214.2,1.2,9.963,2.44,,,,,,,
T,42.781471377,-106.454865593,5378.9,214.8,0.8,9.977,73.19,,,,,,,
T,42.781475000,-106.454870000,5378.6,215.1,-4.5,9.978,1.77,,,,,,,
T,42.781436000,-106.454930000,5378.4,222.0,4.8,9.982,21.48,,,,,,,
T,42.781326000,-106.455138000,5375.8,241.2,13.6,9.995,68.74,,,,,,,
T,42.781217000,-106.455357000,5395.0,240.1,10.1,10.008,70.96,,,,,,,
T,42.781132000,-106.455621000,5411.5,238.5,7.3,10.023,77.35,,,,,,,
T,42.781053000,-106.455907000,5410.9,241.0,7.4,10.038,82.00,,,,,,,
T,42.781012000,-106.456188000,5405.7,245.3,2.7,10.053,76.91,,,,,,,
T,42.780984000,-106.456418000,5403.0,250.0,1.1,10.065,62.59,,,,,,,
T,42.780982000,-106.456751000,5405.5,257.1,3.6,10.082,89.40,,,,,,,
T,42.781002000,-106.457064000,5415.8,263.0,6.4,10.098,84.35,,,,,,,
T,42.781053000,-106.457342000,5425.1,270.0,8.9,10.112,76.91,,,,,,,
T,42.781069000,-106.457412000,5427.1,273.6,7.0,10.116,19.68,,,,,,,
T,42.781127000,-106.457669000,5433.3,278.9,5.6,10.130,72.16,,,,,,,
T,42.781377000,-106.458446000,5439.3,287.6,4.3,10.173,227.63,,,,,,,
T,42.781441000,-106.458581000,5440.3,291.5,5.2,10.181,43.10,,,,,,,
T,42.781693000,-106.459093000,5448.0,296.5,5.2,10.212,165.32,,,,,,,
T,42.781903000,-106.459521000,5460.9,298.3,3.5,10.238,138.06,,,,,,,
T,42.782096000,-106.459845000,5468.7,301.2,1.6,10.259,111.87,,,,,,,
T,42.782309000,-106.460121000,5459.0,307.2,1.0,10.280,107.32,,,,,,,
T,42.782765000,-106.460633000,5452.0,311.3,0.0,10.321,215.67,,,,,,,
T,42.783333000,-106.461041000,5455.9,318.9,-0.6,10.365,234.21,,,,,,,
T,42.784005000,-106.461329000,5461.2,327.7,-0.0,10.414,256.83,,,,,,,
T,42.784612000,-106.461465000,5462.1,334.7,-2.1,10.456,224.22,,,,,,,
T,42.785484000,-106.461449000,5458.7,342.9,-3.5,10.516,317.84,,,,,,,
T,42.789906000,-106.461129000,5395.5,357.1,-3.9,10.822,1613.95,,,,,,,
