type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
W,39.092180328,-94.417052726,1045.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,A. Independence,
W,39.037730470,-95.676168265,899.3,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,B. Topeka,
W,40.882933512,-98.373416689,1866.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,C. Grand Island,
W,41.828385359,-103.707647140,4119.1,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,D. Gering,
W,42.866811643,-106.336730415,5302.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,E. Casper,
W,42.841597575,-108.745826606,5352.0,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,F. Lander,
W,42.322974163,-111.297701666,5980.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,G. Montpelier,
W,42.864735055,-112.452639552,4463.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,H. Pocatello,
W,42.583990486,-114.471057557,3656.8,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,I. Twin Falls,

type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.041511000,-94.436965000,1046.0,166.1,-0.7,4.697,50.28,,,,,,,
T,39.041475000,-94.436964000,1046.0,170.4,-0.5,4.699,13.12,,,,,,,
T,39.040102000,-94.437045000,1043.5,179.8,-0.3,4.794,500.61,,,,,,,
T,39.039875000,-94.437054000,1043.9,181.0,-0.3,4.810,82.72,,,,,,,
T,39.038797000,-94.437096000,1043.9,182.0,-0.3,4.884,392.82,,,,,,,
T,39.038117000,-94.437123000,1041.9,182.1,-0.3,4.931,247.79,,,,,,,
T,39.037754000,-94.437150000,1041.5,182.2,-0.4,4.956,132.44,,,,,,,
T,39.037617000,-94.437193000,1041.1,182.6,-0.6,4.966,51.37,,,,,,,
T,39.037486000,-94.437261000,1040.6,183.9,-0.5,4.976,51.48,,,,,,,
T,39.037305000,-94.437405000,1040.4,189.1,-0.6,4.990,77.58,,,,,,,
T,39.037176000,-94.437559000,1039.8,199.8,-0.6,5.002,64.20,,,,,,,
T,39.037117000,-94.437652000,1039.7,211.5,-0.4,5.009,34.05,,,,,,,
T,39.037109000,-94.437665000,1039.7,215.8,-0.1,5.010,4.70,,,,,,,
T,39.037052000,-94.437782000,1039.7,223.0,0.8,5.017,39.19,,,,,,,
T,39.036956000,-94.437981000,1040.1,232.0,1.0,5.030,66.47,,,,,,,
T,39.036766000,-94.438264000,1041.8,233.2,1.1,5.050,106.07,,,,,,,
T,39.036720000,-94.438312000,1042.1,232.2,1.2,5.054,21.60,,,,,,,
T,39.036644000,-94.438391000,1042.6,230.5,1.0,5.061,35.63,,,,,,,
T,39.036521000,-94.438475000,1042.9,225.4,0.4,5.070,50.76,,,,,,,
T,39.036438000,-94.438548000,1042.6,220.4,0.2,5.077,36.66,,,,,,,
T,39.036221000,-94.438678000,1042.7,210.5,-0.4,5.094,87.24,,,,,,,
T,39.036176000,-94.438698000,1042.5,208.9,-1.0,5.097,17.35,,,,,,,
T,39.035994000,-94.438777000,1041.5,204.8,-1.0,5.110,69.98,,,,,,,
T,39.035657000,-94.438862000,1039.6,199.2,-0.5,5.134,125.10,,,,,,,
T,39.034720000,-94.438915000,1036.1,189.4,-0.2,5.199,341.61,,,,,,,
T,39.033725000,-94.438954000,1038.5,184.9,-0.4,5.267,362.57,,,,,,,
T,39.032364000,-94.439012000,1040.4,183.7,-0.7,5.361,495.99,,,,,,,
T,39.031574000,-94.439057000,1035.6,182.8,-0.6,5.416,288.02,,,,,,,
T,39.030639000,-94.439110000,1027.7,182.2,-1.0,5.480,340.88,,,,,,,
T,39.030433000,-94.439133000,1026.5,182.3,-1.8,5.495,75.31,,,,,,,
T,39.030381000,-94.439147000,1026.4,182.6,-1.8,5.498,19.35,,,,,,,
