type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.781709000,-98.729857000,2016.3,246.0,0.2,22.958,288.89,,,,,,,
T,40.781570000,-98.730364000,2016.8,247.9,0.2,22.986,149.26,,,,,,,
T,40.781332000,-98.731230000,2015.8,249.5,0.2,23.034,255.03,,,,,,,
T,40.780960000,-98.732610000,2017.9,250.2,0.1,23.111,405.50,,,,,,,
T,40.780594000,-98.733975000,2018.4,250.4,0.0,23.187,400.86,,,,,,,
T,40.780211000,-98.735350000,2017.6,250.2,0.1,23.264,405.57,,,,,,,
T,40.779986000,-98.736170000,2017.2,250.2,0.0,23.310,241.44,,,,,,,
T,40.779783000,-98.736878000,2017.1,250.1,0.1,23.349,209.57,,,,,,,
T,40.779351000,-98.738316000,2018.8,249.6,0.0,23.430,428.23,,,,,,,
T,40.778974000,-98.739519000,2019.5,248.9,0.2,23.499,360.38,,,,,,,
T,40.778628000,-98.740705000,2018.3,248.7,0.2,23.565,351.83,,,,,,,
T,40.778585000,-98.740852000,2019.3,248.4,0.1,23.573,43.62,,,,,,,
T,40.777000000,-98.746640000,2023.0,249.4,0.1,23.896,1703.88,,,,,,,
T,40.774755000,-98.754937000,2025.9,249.9,0.2,24.358,2439.22,,,,,,,
T,40.773612000,-98.759057000,2027.0,250.1,0.2,24.588,1214.74,,,,,,,
T,40.773375000,-98.759929000,2028.0,250.2,0.1,24.637,256.49,,,,,,,
T,40.772894000,-98.761677000,2029.9,250.2,0.1,24.734,514.90,,,,,,,
T,40.771830000,-98.765506000,2030.2,250.1,0.1,24.948,1129.19,,,,,,,
T,40.769400000,-98.774406000,2031.5,250.0,0.1,25.444,2619.36,,,,,,,
T,40.768174000,-98.778936000,2035.5,250.1,0.1,25.697,1331.93,,,,,,,
T,40.765576000,-98.788391000,2037.0,250.1,0.1,26.224,2784.87,,,,,,,
T,40.762936000,-98.798062000,2043.1,250.1,0.2,26.763,2846.45,,,,,,,
T,40.760292000,-98.807704000,2047.1,250.2,0.2,27.301,2839.48,,,,,,,
T,40.757733000,-98.817041000,2053.9,250.1,0.2,27.822,2749.59,,,,,,,
T,40.755654000,-98.824572000,2057.7,250.1,0.2,28.242,2219.68,,,,,,,
T,40.755116000,-98.826568000,2058.8,250.1,0.2,28.353,586.71,,,,,,,
T,40.755051000,-98.826779000,2057.9,250.1,0.1,28.365,63.07,,,,,,,
T,40.754011000,-98.830585000,2060.2,250.1,0.1,28.577,1120.48,,,,,,,
T,40.753601000,-98.832098000,2056.4,250.1,0.0,28.662,445.01,,,,,,,
T,40.752521000,-98.835987000,2060.1,250.1,0.1,28.879,1147.09,,,,,,,
T,40.752498000,-98.836071000,2059.7,250.0,-0.1,28.883,24.74,,,,,,,
T,40.752421000,-98.836328000,2060.1,250.0,0.3,28.898,76.53,,,,,,,
T,40.752237000,-98.836931000,2058.8,249.7,0.1,28.932,180.02,,,,,,,
T,40.752083000,-98.837415000,2061.3,249.4,-0.0,28.960,145.36,,,,,,,
T,40.751799000,-98.838303000,2060.9,247.6,-0.1,29.010,266.91,,,,,,,
T,40.751627000,-98.838854000,2059.3,247.6,0.1,29.041,165.03,,,,,,,
T,40.751307000,-98.839910000,2058.7,247.7,-0.2,29.101,314.96,,,,,,,
T,40.751045000,-98.840841000,2059.5,248.1,-0.1,29.153,275.05,,,,,,,
T,40.750806000,-98.841752000,2059.2,248.8,0.1,29.204,267.01,,,,,,,
T,40.750462000,-98.842985000,2059.1,249.3,0.1,29.273,363.89,,,,,,,
T,40.750288000,-98.843640000,2060.5,249.7,0.1,29.309,192.24,,,,,,,
T,40.750101000,-98.844275000,2060.3,250.0,0.3,29.345,188.67,,,,,,,
T,40.749785000,-98.845478000,2061.1,250.3,0.2,29.412,352.64,,,,,,,
T,40.748798000,-98.849077000,2065.0,250.1,0.2,29.612,1060.06,,,,,,,
T,40.748376000,-98.850809000,2064.7,250.6,0.3,29.708,503.93,,,,,,,
T,40.748116000,-98.851895000,2065.0,250.9,0.2,29.768,315.47,,,,,,,
T,40.747914000,-98.852744000,2066.9,251.2,0.1,29.814,246.49,,,,,,,
T,40.747561000,-98.854068000,2065.8,251.1,0.2,29.888,388.75,,,,,,,
T,40.747273000,-98.855122000,2067.2,251.6,0.2,29.947,310.33,,,,,,,
T,40.746797000,-98.856860000,2068.1,251.0,0.1,30.044,511.85,,,,,,,
T,40.746238000,-98.858869000,2069.8,250.4,0.2,30.156,592.76,,,,,,,
T,40.745534000,-98.861432000,2069.5,250.1,0.1,30.299,755.08,,,,,,,
T,40.744311000,-98.865899000,2074.1,250.1,0.2,30.548,1315.54,,,,,,,
T,40.743330000,-98.869431000,2072.9,250.0,0.2,30.745,1041.94,,,,,,,
T,40.742946000,-98.870779000,2075.6,249.9,0.2,30.821,398.88,,,,,,,
T,40.742615000,-98.872017000,2076.6,250.0,0.1,30.890,363.63,,,,,,,
T,40.742292000,-98.873261000,2076.0,250.1,0.3,30.959,364.25,,,,,,,
T,40.742094000,-98.874116000,2077.0,250.4,-0.0,31.006,247.67,,,,,,,
T,40.742052000,-98.874299000,2077.3,250.9,0.0,31.016,52.97,,,,,,,
T,40.740545000,-98.881016000,2075.1,252.8,0.1,31.383,1940.64,,,,,,,
T,40.739786000,-98.884407000,2078.2,253.2,0.1,31.569,979.54,,,,,,,
T,40.737780000,-98.893397000,2080.0,253.5,0.1,32.060,2596.31,,,,,,,
T,40.736977000,-98.896932000,2081.2,253.5,0.2,32.254,1022.40,,,,,,,
T,40.735425000,-98.903852000,2088.3,253.5,0.2,32.633,1999.37,,,,,,,
